ApplicationDocsID	ApplicationDocsTypeID	ApplNo	SubmissionType	SubmissionNo	ApplicationDocsTitle	ApplicationDocsURL	ApplicationDocsDate
41548	3	020685	SUPPL     	46	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020685_S046_Crixivan.pdf	2007-09-26 00:00:00
41549	3	020685	SUPPL     	47	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020685_S047_Crixivan.pdf	2007-09-26 00:00:00
41550	3	020685	SUPPL     	52	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020685_S052_Crixivan.pdf	2007-09-26 00:00:00
41551	3	020685	SUPPL     	54	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020685_S054_Crixivan.pdf	2007-09-26 00:00:00
41552	3	020685	SUPPL     	60	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020685_S060_Crixivan.pdf	2007-09-26 00:00:00
41553	3	020687	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20687_mifepristone.cfm	2000-09-28 00:00:00
41554	3	020688	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020688_S002_PATANOL.pdf	2008-08-08 00:00:00
41555	3	020688	SUPPL     	3	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020688_S003_PATANOL.pdf	2008-08-08 00:00:00
41556	3	020688	SUPPL     	6	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020688_S006_PATANOL.pdf	2008-08-08 00:00:00
41557	3	020688	SUPPL     	13	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020688_S013_PATANOL.pdf	2008-08-04 00:00:00
41558	3	020692	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020692s000_SereventTOC.cfm	2005-12-06 00:00:00
41559	3	020692	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20692S1,2_Serevent.cfm	1998-09-25 00:00:00
41560	3	020695	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/20-695_Raxar_Pharma.pdf	2004-07-15 00:00:00
41561	3	020695	SUPPL     	3	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20-695s003_Raxar.cfm	2004-06-28 00:00:00
41562	3	020699	SUPPL     	5	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020699_s005_EFFEXOR XR_EXTENDED_RELEASE_CAPS.pdf	2008-08-04 00:00:00
41563	3	020699	SUPPL     	10	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/020699_S010_EFFEXOR.pdf	2007-09-24 00:00:00
41564	3	020699	SUPPL     	12	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/020699_S012_EFFEXOR_XR.pdf	2008-08-04 00:00:00
41565	3	020699	SUPPL     	16	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020151s017s018,020699s015s016EffexorTOC.cfm	2007-07-06 00:00:00
41566	3	020699	SUPPL     	18	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020151s16s19s20s21s22s23s25,020699s14s18s21s23s26s27s34TOC.cfm	2007-07-06 00:00:00
41567	3	020699	SUPPL     	23	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020151s16s19s20s21s22s23s25,020699s14s18s21s23s26s27s34TOC.cfm	2007-07-06 00:00:00
41568	3	020699	SUPPL     	24	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020699_s024_EFFEXOR XR_EXTENDED_RELEASE_CAPS.pdf	2008-08-04 00:00:00
41569	3	020699	SUPPL     	25	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020699_S025_EFFEXOR_XR.pdf	2008-02-19 00:00:00
41570	3	020699	SUPPL     	26	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020151s16s19s20s21s22s23s25,020699s14s18s21s23s26s27s34TOC.cfm	2007-07-06 00:00:00
41571	3	020699	SUPPL     	28	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020699_S028_EFFEXOR.pdf	2008-02-19 00:00:00
41572	3	020699	SUPPL     	34	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020151s16s19s20s21s22s23s25,020699s14s18s21s23s26s27s34TOC.cfm	2007-07-06 00:00:00
41573	3	020699	SUPPL     	38	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020699_S038_EFFEXOR_AP.pdf	2007-07-06 00:00:00
41574	3	020699	SUPPL     	39	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020699_s039_EFFEXOR XR_EXTENDED_RELEASE_CAPS.pdf	2008-07-31 00:00:00
41575	3	020699	SUPPL     	43	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020699_S043_EFFEXOR_AP.pdf	2007-07-06 00:00:00
41576	3	020699	SUPPL     	45	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020699_s045_EFFEXOR_XR_EXTENDED_RELEASE_CAPS.pdf	2008-07-31 00:00:00
41577	3	020699	SUPPL     	48	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020699_S048_EFFEXOR_TABLETS.pdf	2007-11-19 00:00:00
41578	3	020699	SUPPL     	52	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020699_S052_EFFEXOR_TABLETS.pdf	2007-11-19 00:00:00
41579	3	020701	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020701_crinone_toc.cfm	2003-08-08 00:00:00
41580	3	020701	SUPPL     	9	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020701_S009_CRINONE.pdf	2007-11-19 00:00:00
41581	3	020702	SUPPL     	4	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020702a_s004.pdf	1998-10-23 00:00:00
41582	3	020702	SUPPL     	8	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020702_S008_LIPITOR_TABLETS_AP.pdf	2007-07-06 00:00:00
41583	3	020702	SUPPL     	9	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020702_S009_LIPITOR.pdf	2007-11-19 00:00:00
41584	3	020702	SUPPL     	12	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020702_S012_LIPITOR.pdf	2007-11-19 00:00:00
41585	3	020702	SUPPL     	18	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020702-S018_Lipitor.cfm	2001-02-26 00:00:00
41586	3	020702	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020702_S021_LIPITOR.pdf	2007-11-19 00:00:00
41587	3	020702	SUPPL     	27	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/020702_s027_LIPITOR_TABLETS.pdf	2008-07-31 00:00:00
41588	3	020702	SUPPL     	35	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020702_S035_LIPITOR.pdf	2007-09-26 00:00:00
41589	3	020702	SUPPL     	36	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020702_S036_LIPITOR.pdf	2007-09-26 00:00:00
41590	3	020702	SUPPL     	39	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020702_s039_LIPITOR_TABLETS.pdf	2008-08-01 00:00:00
41591	3	020702	SUPPL     	60	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/020702s060.pdf	2012-03-30 00:00:00
41592	3	020705	SUPPL     	3	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20-705S003.pdf	2004-03-24 00:00:00
41593	3	020705	SUPPL     	8	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020705_S008_RescriptorTOC.cfm	2007-07-09 00:00:00
41594	3	020707	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020707_toc.cfm	2010-01-05 00:00:00
41595	3	020708	SUPPL     	5	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20708s5.cfm	1999-06-22 00:00:00
41596	3	020708	SUPPL     	6	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020708_S006_Lupron Depot_APPROVAL PACKAGE.pdf	2007-07-09 00:00:00
41597	3	020708	SUPPL     	20	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020708_S020_Lupron Depot_APPROVAL PACKAGE.pdf	2007-07-09 00:00:00
41598	3	020708	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/020708_S021_Lupron Depot_APPROVAL PACKAGE.pdf	2007-07-09 00:00:00
41599	3	020710	SUPPL     	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/1997/020710_S001_PAXIL_TABLETS.pdf	2007-09-24 00:00:00
41600	3	020710	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020710_S002_PAXIL_TABLETS.pdf	2007-09-24 00:00:00
41601	3	020710	SUPPL     	7	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/020710Orig1s007.pdf	2011-12-09 00:00:00
41602	3	020710	SUPPL     	10	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020710Orig1s010.pdf	2011-12-09 00:00:00
41603	3	020710	SUPPL     	11	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020710Orig1s011.pdf	2011-12-09 00:00:00
41604	3	020711	SUPPL     	12	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-711s12_Zyban.cfm	2001-02-07 00:00:00
41605	3	020711	SUPPL     	15	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020711_S015_ZYBAN.pdf	2007-07-09 00:00:00
41606	3	020714	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020714_nicotrol_toc.cfm	2003-08-08 00:00:00
41607	3	020716	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020716_vicoprofen_toc.cfm	2010-03-03 00:00:00
41608	3	020717	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020717A_Provigil.cfm	1998-12-24 00:00:00
41609	3	020717	SUPPL     	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020717_S001_PROVIGIL_TABS_AP.pdf	2007-04-11 00:00:00
41610	3	020717	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/020717_S002_PROVIGIL_TABS_AP.pdf	2007-04-11 00:00:00
41611	3	020717	SUPPL     	4	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/020717_S004_PROVIGIL_TABS_AP.pdf	2007-04-11 00:00:00
41612	3	020717	SUPPL     	6	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020717_S006_PROVIGIL_TABS.pdf	2007-09-24 00:00:00
41613	3	020718	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20718S002_Integrilin.cfm	1999-09-20 00:00:00
41614	3	020719	SUPPL     	12	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20719S12_Prelay.cfm	1999-10-01 00:00:00
41615	3	020720	SUPPL     	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020720a_s001_thru_s007.pdf	2003-06-17 00:00:00
41616	3	020720	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020720_s02_s03_s05ap.pdf	1997-08-04 00:00:00
41617	3	020720	SUPPL     	3	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020720_s02_s03_s05ap.pdf	1997-08-14 00:00:00
41618	3	020720	SUPPL     	4	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020720a_s001_thru_s007.pdf	2003-06-17 00:00:00
41619	3	020720	SUPPL     	5	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020720_s02_s03_s05ap.pdf	1997-08-14 00:00:00
41620	3	020720	SUPPL     	7	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020720a_s001_thru_s007.pdf	2003-06-17 00:00:00
41621	3	020720	SUPPL     	14	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20720S12S14_Rezulin.cfm	1999-06-16 00:00:00
41622	1	020725	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/020725s000ltr.pdf	2020-03-23 00:00:00
41623	3	020726	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020726_femara_toc.cfm	2003-08-07 00:00:00
41624	3	020732	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-732_20-733_Subutex.cfm	2004-11-22 00:00:00
41625	3	020733	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/20-732_20-733_Subutex.cfm	2004-11-22 00:00:00
